tf.Tensor(714.8679630265054, shape=(), dtype=float64)
tf.Tensor(715.4393482702341, shape=(), dtype=float64)
tf.Tensor(601.4807706857915, shape=(), dtype=float64)
tf.Tensor(397.0307457958297, shape=(), dtype=float64)
tf.Tensor(543.1319430944502, shape=(), dtype=float64)
tf.Tensor(657.007352950197, shape=(), dtype=float64)
tf.Tensor(504.71535484460037, shape=(), dtype=float64)
tf.Tensor(724.7834398938837, shape=(), dtype=float64)
tf.Tensor(703.1687426141037, shape=(), dtype=float64)
tf.Tensor(767.9419707445952, shape=(), dtype=float64)
tf.Tensor(777.5015548435418, shape=(), dtype=float64)
tf.Tensor(989.2508557237954, shape=(), dtype=float64)
tf.Tensor(518.5070145036967, shape=(), dtype=float64)
tf.Tensor(534.5978457444238, shape=(), dtype=float64)
tf.Tensor(720.8572161971745, shape=(), dtype=float64)
tf.Tensor(1159.7488737426406, shape=(), dtype=float64)
tf.Tensor(320.6324409028333, shape=(), dtype=float64)
tf.Tensor(1394.1927827543004, shape=(), dtype=float64)
tf.Tensor(703.3349709460723, shape=(), dtype=float64)
tf.Tensor(738.3102403701305, shape=(), dtype=float64)
tf.Tensor(708.8101310175538, shape=(), dtype=float64)
tf.Tensor(759.643071849196, shape=(), dtype=float64)
tf.Tensor(1139.413364009081, shape=(), dtype=float64)
tf.Tensor(652.6158286177736, shape=(), dtype=float64)
tf.Tensor(511.88696706828193, shape=(), dtype=float64)
tf.Tensor(614.8265342717132, shape=(), dtype=float64)
tf.Tensor(751.8531795049872, shape=(), dtype=float64)
tf.Tensor(409.3261658417185, shape=(), dtype=float64)
tf.Tensor(853.1438035716689, shape=(), dtype=float64)
tf.Tensor(397.23684713447653, shape=(), dtype=float64)
tf.Tensor(1248.825472788042, shape=(), dtype=float64)
tf.Tensor(324.29618237959295, shape=(), dtype=float64)
tf.Tensor(539.0776584853622, shape=(), dtype=float64)
tf.Tensor(403.5958510927041, shape=(), dtype=float64)
tf.Tensor(336.8187308862929, shape=(), dtype=float64)
tf.Tensor(491.39016867392274, shape=(), dtype=float64)
tf.Tensor(399.09252340706496, shape=(), dtype=float64)
tf.Tensor(824.7862682710678, shape=(), dtype=float64)
tf.Tensor(752.289149457519, shape=(), dtype=float64)
tf.Tensor(758.2617249796582, shape=(), dtype=float64)
tf.Tensor(861.6614655089694, shape=(), dtype=float64)
tf.Tensor(954.6781194571319, shape=(), dtype=float64)
tf.Tensor(452.07885558819834, shape=(), dtype=float64)
tf.Tensor(678.8840623372714, shape=(), dtype=float64)
tf.Tensor(632.9319856849964, shape=(), dtype=float64)
tf.Tensor(188.4658995503916, shape=(), dtype=float64)
tf.Tensor(810.2571434981168, shape=(), dtype=float64)
tf.Tensor(448.8642290332602, shape=(), dtype=float64)
tf.Tensor(451.0332731976188, shape=(), dtype=float64)
tf.Tensor(1207.4530723443545, shape=(), dtype=float64)
tf.Tensor(462.41705817756883, shape=(), dtype=float64)
tf.Tensor(1031.478790522045, shape=(), dtype=float64)
tf.Tensor(528.902438097875, shape=(), dtype=float64)
tf.Tensor(455.3596027440937, shape=(), dtype=float64)
tf.Tensor(762.3192366299584, shape=(), dtype=float64)
tf.Tensor(734.6575540611868, shape=(), dtype=float64)
tf.Tensor(484.53681642463926, shape=(), dtype=float64)
tf.Tensor(340.50823692434426, shape=(), dtype=float64)
tf.Tensor(652.3551333155381, shape=(), dtype=float64)
tf.Tensor(611.6007021210319, shape=(), dtype=float64)
tf.Tensor(373.820683097194, shape=(), dtype=float64)
tf.Tensor(592.1168552614494, shape=(), dtype=float64)
tf.Tensor(697.3563220697463, shape=(), dtype=float64)
tf.Tensor(1164.206066876331, shape=(), dtype=float64)
tf.Tensor(820.844963356122, shape=(), dtype=float64)
tf.Tensor(560.0470862541297, shape=(), dtype=float64)
tf.Tensor(594.5045952187168, shape=(), dtype=float64)
tf.Tensor(580.5012396280814, shape=(), dtype=float64)
tf.Tensor(704.3803825823769, shape=(), dtype=float64)
tf.Tensor(602.9061458385113, shape=(), dtype=float64)
tf.Tensor(728.5420842546121, shape=(), dtype=float64)
tf.Tensor(554.7037777968347, shape=(), dtype=float64)
tf.Tensor(631.4924754948145, shape=(), dtype=float64)
tf.Tensor(268.21958090072513, shape=(), dtype=float64)
tf.Tensor(898.1001109895471, shape=(), dtype=float64)
tf.Tensor(1137.3207559339985, shape=(), dtype=float64)
tf.Tensor(408.09227275102313, shape=(), dtype=float64)
tf.Tensor(349.25493152377237, shape=(), dtype=float64)
tf.Tensor(941.2180312844023, shape=(), dtype=float64)
tf.Tensor(673.5893901567579, shape=(), dtype=float64)
tf.Tensor(833.7077012458765, shape=(), dtype=float64)
tf.Tensor(577.1128904819627, shape=(), dtype=float64)
tf.Tensor(645.3195910854301, shape=(), dtype=float64)
tf.Tensor(508.97118284122917, shape=(), dtype=float64)
tf.Tensor(718.4279883100613, shape=(), dtype=float64)
tf.Tensor(733.8187148998826, shape=(), dtype=float64)
tf.Tensor(903.3671518251816, shape=(), dtype=float64)
tf.Tensor(1108.9535110161953, shape=(), dtype=float64)
tf.Tensor(342.9515765803779, shape=(), dtype=float64)
tf.Tensor(1092.0951128876382, shape=(), dtype=float64)
tf.Tensor(1082.974506266309, shape=(), dtype=float64)
tf.Tensor(247.60182246297336, shape=(), dtype=float64)
tf.Tensor(339.3090115463019, shape=(), dtype=float64)
tf.Tensor(665.2641706993927, shape=(), dtype=float64)
tf.Tensor(571.8027151538656, shape=(), dtype=float64)
tf.Tensor(807.8749345401426, shape=(), dtype=float64)
tf.Tensor(897.1295404616139, shape=(), dtype=float64)
tf.Tensor(860.3419988604313, shape=(), dtype=float64)
tf.Tensor(920.5817225432322, shape=(), dtype=float64)
tf.Tensor(525.558668289247, shape=(), dtype=float64)
tf.Tensor(563.1377083762279, shape=(), dtype=float64)
tf.Tensor(769.0609829111193, shape=(), dtype=float64)
tf.Tensor(439.63086646168523, shape=(), dtype=float64)
tf.Tensor(474.98802938226436, shape=(), dtype=float64)
tf.Tensor(530.566884312794, shape=(), dtype=float64)
tf.Tensor(546.2100215876475, shape=(), dtype=float64)
tf.Tensor(756.2837713185581, shape=(), dtype=float64)
tf.Tensor(620.3829036850184, shape=(), dtype=float64)
tf.Tensor(564.8582398348684, shape=(), dtype=float64)
tf.Tensor(471.0437893252412, shape=(), dtype=float64)
tf.Tensor(414.3660178178463, shape=(), dtype=float64)
tf.Tensor(504.46790514560854, shape=(), dtype=float64)
tf.Tensor(954.128734220456, shape=(), dtype=float64)
tf.Tensor(977.6188470992092, shape=(), dtype=float64)
tf.Tensor(1018.1938977354832, shape=(), dtype=float64)
tf.Tensor(672.3361495838748, shape=(), dtype=float64)
tf.Tensor(739.9894775409208, shape=(), dtype=float64)
tf.Tensor(639.5131300398222, shape=(), dtype=float64)
tf.Tensor(637.1877508010991, shape=(), dtype=float64)
tf.Tensor(426.87639887564944, shape=(), dtype=float64)
tf.Tensor(609.961255601274, shape=(), dtype=float64)
tf.Tensor(427.55603963285466, shape=(), dtype=float64)
tf.Tensor(946.2412914584369, shape=(), dtype=float64)
tf.Tensor(279.5355804459323, shape=(), dtype=float64)
tf.Tensor(386.8388870894596, shape=(), dtype=float64)
tf.Tensor(555.2979537192856, shape=(), dtype=float64)
tf.Tensor(932.1533566866194, shape=(), dtype=float64)
tf.Tensor(754.7630809846444, shape=(), dtype=float64)
tf.Tensor(457.2535972158694, shape=(), dtype=float64)
tf.Tensor(197.69201447923916, shape=(), dtype=float64)
tf.Tensor(1597.4102159899783, shape=(), dtype=float64)
tf.Tensor(661.0083787731994, shape=(), dtype=float64)
tf.Tensor(645.912242337013, shape=(), dtype=float64)
tf.Tensor(913.428172451759, shape=(), dtype=float64)
tf.Tensor(557.2544168196962, shape=(), dtype=float64)
tf.Tensor(632.2515738279901, shape=(), dtype=float64)
tf.Tensor(567.8014913749823, shape=(), dtype=float64)
tf.Tensor(810.1439693985168, shape=(), dtype=float64)
tf.Tensor(477.54497983036345, shape=(), dtype=float64)
tf.Tensor(812.5427863558273, shape=(), dtype=float64)
tf.Tensor(367.43420850336696, shape=(), dtype=float64)
tf.Tensor(726.0642522783543, shape=(), dtype=float64)
tf.Tensor(805.1734918272712, shape=(), dtype=float64)
tf.Tensor(390.27479305446104, shape=(), dtype=float64)
tf.Tensor(273.61797172748265, shape=(), dtype=float64)
